catalogNumber,assigned_tier,ucs_score,solidity,midrib_angle,symmetry_reconstructed,mask_path,leaf_index,petiole_length_px,lamina_length_px,status
00543348,2,0.684,0.6643,72.67,TRUE,data/masks/tier2_reflected/00543348_reflected_52.png,52,9.22,47.07,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.7022,0.7777,87.34,TRUE,data/masks/tier2_reflected/00543348_reflected_53.png,53,99.13,11.05,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.7161,0.6858,-60.4,TRUE,data/masks/tier2_reflected/00543348_reflected_54.png,54,75.29,41.68,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.4931,0.4968,-83.66,TRUE,data/masks/tier2_reflected/00543348_reflected_55.png,55,96.63,126.78,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,1,0.8861,0.8407,8.38,FALSE,data/masks/tier1_intact/00543348_leaf_56.png,56,19.1,28.16,TIER_1_INTACT_EXTRACTED
00543348,1,0.878,0.8367,-11.11,FALSE,data/masks/tier1_intact/00543348_leaf_57.png,57,4.12,53.94,TIER_1_INTACT_EXTRACTED
00543348,2,0.8485,0.8478,81.72,TRUE,data/masks/tier2_reflected/00543348_reflected_58.png,58,28.64,3.16,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.739,0.7646,-72.44,TRUE,data/masks/tier2_reflected/00543348_reflected_59.png,59,88.89,9.49,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,3,0.8906,0.632,-87.05,FALSE,data/masks/tier3_open_curves/00543348_curve_60.csv,60,0.0,43.05,TIER_3_OPEN_CURVE_EXTRACTED
00543348,1,0.8721,0.7888,82.72,FALSE,data/masks/tier1_intact/00543348_leaf_61.png,61,71.57,8.06,TIER_1_INTACT_EXTRACTED
00543348,2,0.7576,0.7296,80.44,TRUE,data/masks/tier2_reflected/00543348_reflected_62.png,62,54.15,6.08,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.7537,0.6732,57.96,TRUE,data/masks/tier2_reflected/00543348_reflected_63.png,63,37.58,57.27,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.775,0.72,60.58,TRUE,data/masks/tier2_reflected/00543348_reflected_64.png,64,17.49,17.0,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.728,0.5345,71.69,TRUE,data/masks/tier2_reflected/00543348_reflected_65.png,65,116.87,13.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.8296,0.5462,16.61,TRUE,data/masks/tier2_reflected/00543348_reflected_66.png,66,76.24,8.54,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.7985,0.7619,84.04,TRUE,data/masks/tier2_reflected/00543348_reflected_67.png,67,10.44,66.94,TIER_2_SYMMETRY_REFLECTED_UPPER
